created_at,text
2018-11-01 15:01:45,"Fall into #fundraising with our Donor Cultivation bundle -- now 30% off! For only $99, you can learn from experts, so you’ll be prepared to design and implement programs in #majorgifts, mid-level donor retention, and donor recognition! https://t.co/pCXYHZK3GH @GrantSpace #FCLearn https://t.co/5dMtcFzUdF"
2018-11-01 12:35:05,"Have questions about how to use Foundation Directory Online to identify funding sources, build prospect networks, and win funding to support your mission? This YouTube channel has all the answers: https://t.co/T8vk1AlgDh https://t.co/DxQUrFkrCp"
2018-11-01 00:25:55,Thanks Tim for this great article featuring our research in partnership with @COF_ ! https://t.co/LewE3iGE0I
2018-10-31 21:01:11,"Take your #nonprofit's board to the next level! Get tips and tricks to engage your board in decision-making! Register for our 11/8 webinar, plus earn 1.5 CFRE points: https://t.co/cGw6bXsEt3 #FCLearn @GrantSpace @BDP503 @SupportCenterNY @SC_Partnerships https://t.co/WAA0v8bTpr"
2018-10-31 19:30:23,Hey we're hiring - come help us build a stronger social sector! Check out all of our opportunities here: https://t.co/1JFvlbe9dM #jobs #philanthropy #nonprofit
2018-10-31 17:05:09,What are the barriers to learning from evaluation? Listen to this discussion from @NPCthinks's annual conference here: https://t.co/VUZpSMZKKb #nonprofits #philanthropy
2018-10-31 15:05:26,"We’re spotlighting @jenbo1, our Director of Stakeholder Engagement, as this week’s #wcw! Jen leads partnerships &amp; projects advancing knowledge in the #socialsector, focusing on grantmaking, &amp; also manages @GrantCraft! We're thrilled to have her on the Foundation Center team! https://t.co/k607yMiny1"
2018-10-31 12:05:12,"Become a  part of our network of libraries, community foundations, and other #nonprofit resource centers across cities in the US and around the world this #WorldCitiesDay. Learn more about our #FCFIN program: https://t.co/s2ZRedtIb0 https://t.co/PY4IybVbNE"
2018-10-31 07:10:06,"As governments around the world continue to pass legislation that restricts funding to civil society, is global #philanthropy changing? See what the data tells us: https://t.co/NoOPElQyzh @Glasspockets @COF_ https://t.co/ts4ImPgo3E"
2018-10-30 19:45:09,Make the most of your next conference! Here are 7 tips for building authentic connections at conferences: https://t.co/K2XnQmoOxD https://t.co/GpcGyRlkIw
2018-10-30 17:45:06,New data shows that 42% of all funding for #nonprofit &amp; #philanthropy infrastructure came from just 10 U.S. foundations from 2004 to 2015 | Explore the latest trends here: https://t.co/fW6vaX5VgG @FordFoundation @gatesfoundation @WK_Kellogg_Fdn https://t.co/71ua8oAyTh
2018-10-30 15:05:08,DYK less than ¼ of #democracy funding goes toward policy &amp; advocacy work? See how #philanthropy is supporting democracy efforts w/ our new data dashboard tools: https://t.co/wZm1ohkw9m https://t.co/m3Hr17l3j0
2018-10-30 12:10:13,Set yourself up for #fundraising success this #GivingTuesday! Here are 8 tips you should incorporate via @MobileCause: https://t.co/tSUE78XdkT https://t.co/MtcJCjb9TQ
2018-10-29 19:01:34,Use the #internet to advance your knowledge on aspects of the #socialsector this #WorldInternetDay! Join one of our upcoming @GrantSpace online events: https://t.co/ZUMLpIMxAB #FCLearn https://t.co/UsvzU6CtQw
2018-10-29 17:15:14,Searching for grants? Check out the latest #RFP list on PND https://t.co/ImT39Ud7Uz #nonprofit
2018-10-29 15:25:07,Identify and cultivate effective relationships with #grantmaking foundations for larger donations! Register for our upcoming 11/15 webinar to get tips on how to best engage with partners and donors in the U.S.! https://t.co/NjlvbUfe4k #FCLearn @GrantSpace @LizNgonzi @nyucga https://t.co/mWdx84pPlv
2018-10-29 14:01:40,Our expert-led curriculum design helps you create the right training for your staff's culture and learning needs. Visit @GrantSpace to learn more: https://t.co/jNLaus0CY1 #FCLearn #Nonprofits https://t.co/Q0ZMGIt9Q2
2018-10-29 12:55:10,Inspiration for your week! #MondayMotivation https://t.co/MP2K6dI24b
2018-10-28 19:05:06,We have a powerful new course available to help #libraries secure grant funding. Check it out in the @WebJunction Course Catalog: https://t.co/YhE1JzWn2H #FCFIN https://t.co/IxZi7DAr9F
2018-10-28 14:30:15,Job hunting? Check out the listings on PND's job board! https://t.co/QEvsgqBWep #nonprofit #foundation #jobs
2018-10-28 13:00:41,"Find out how your #nonprofit board can do more for your organization! In our 11/8 webinar, @BDP503 will discuss strategies to get your board more involved in organization functions! https://t.co/cGw6bXsEt3 #FCLearn @GrantSpace @SupportCenterNY @SC_Partnerships https://t.co/XXiCuM9bds"
2018-10-27 20:00:34,Bring new life into your fundraising strategy with our Donor Cultivation bundle! Enroll in our series of #eLearning courses just in time for #GivingTuesday! Take advantage of our limited time 30% off offer -- enroll today! https://t.co/pCXYHZK3GH @GrantSpace #FCLearn https://t.co/ECbr1RHfnS
